PERIODOS,NUM_MATERIAS,NUM_CREDITOS_MATRICULADOS,NUM_CREDITOS_APROBADOS,NUM_MATERIAS_APROBADAS,NUM_MATERIAS_PERDIDAS,NUM_R1,NUM_R2,NUM_R3,NUM_R3_BALANCEO,EFICIENCIA,PROMEDIO,GENERO_FEMENINO,GENERO_MASCULINO,GENERO_NO BINARIO,GENERO_NO REPORTA,ESTRATO_1,ESTRATO_2,ESTRATO_3,ESTRATO_4,ESTRATO_5,ESTRATO_6,ETIQUETA
1,4,14,3,1,3,0,0,0,0.0,0.180722891566265,0.8500000000000035,0,1,0,0,0,1,0,0,0,0,1
5,21,73,41,12,9,4,2,0,0.0,0.5335341365461848,3.1470000000000007,0,1,0,0,1,0,0,0,0,0,0
1,4,14,10,3,1,0,0,0,0.0,0.6024096385542168,3.650000000000004,0,1,0,0,0,1,0,0,0,0,0
1,4,14,0,0,4,0,0,0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1
2,8,25,17,6,2,0,0,0,0.0,0.677710843373494,3.108500000000003,1,0,0,0,1,0,0,0,0,0,1
11,56,194,170,50,6,4,1,0,0.0,0.8700960868266453,3.630272727272727,1,0,0,0,1,0,0,0,0,0,0
3,12,41,9,4,8,3,2,0,0.0,0.2710843373493975,1.275,1,0,0,0,0,1,0,0,0,0,1
11,40,142,95,28,12,7,2,1,1.0,0.5683918278387062,3.1313636363636363,1,0,0,0,1,0,0,0,0,0,1
1,4,14,3,1,3,0,0,0,1.0,0.180722891566265,1.6750000000000045,0,1,0,0,0,1,0,0,0,0,1
2,19,57,57,19,0,0,0,0,0.0,1.2801204819277108,3.821500000000001,0,1,0,0,0,1,0,0,0,0,1
1,5,14,6,3,2,0,0,0,0.0,0.36144578313253,2.325,0,1,0,0,0,1,0,0,0,0,1
2,10,29,9,5,5,2,0,0,0.0,0.3162650602409638,1.725,0,1,0,0,1,0,0,0,0,0,1
2,9,33,13,4,5,2,0,0,0.0,0.3765060240963854,2.227500000000001,1,0,0,0,1,0,0,0,0,0,1
8,34,104,75,25,9,2,0,0,0.0,0.6903839849192688,2.8165714285714287,0,1,0,0,1,0,0,0,0,0,1
16,66,234,170,50,16,12,4,1,0.0,0.6420426231231954,3.152,1,0,0,0,0,1,0,0,0,0,0
2,9,29,21,7,2,1,0,0,0.0,0.6174698795180722,3.325,0,1,0,0,1,0,0,0,0,0,1
1,4,14,3,1,3,0,0,0,0.0,0.180722891566265,1.8500000000000032,0,1,0,0,1,0,0,0,0,0,1
5,13,47,29,8,5,3,0,0,0.0,0.3772590361445782,2.2707500000000005,0,1,0,0,1,0,0,0,0,0,1
14,54,182,163,49,5,4,0,0,0.0,0.6926811116785299,3.815714285714286,0,1,0,0,0,1,0,0,0,0,0
7,30,101,89,27,2,1,1,0,0.0,0.7815906483075157,3.237250000000001,1,0,0,0,0,1,0,0,0,0,0
2,9,29,9,4,5,2,0,0,0.0,0.3162650602409638,2.6625,0,1,0,0,0,1,0,0,0,0,1
22,74,263,169,49,25,14,6,3,0.0,0.4790361105771211,3.088,0,1,0,0,1,0,0,0,0,0,0
6,33,111,90,27,6,3,2,0,0.0,0.8835341365461846,2.179333333333334,1,0,0,0,0,1,0,0,0,0,1
1,5,14,14,5,0,0,0,0,0.0,0.8433734939759036,3.9250000000000007,0,1,0,0,0,1,0,0,0,0,1
2,9,29,29,8,1,0,0,0,0.0,0.8584337349397589,3.765000000000002,1,0,0,0,1,0,0,0,0,0,0
1,4,14,14,4,0,0,0,0,0.0,0.8433734939759036,3.750000000000004,0,1,0,0,1,0,0,0,0,0,0
